Kepler_ID,RA,Dec,Period,Transit_Depth,Duration
757450,291.1376000,36.5773810,8.884922995,16053.4,2.07004
892772,291.1533800,36.6788410,5.09246539,254.0,3.659
1025986,291.0336900,36.7710420,275.07365,228.9,3.37
1026032,291.0440700,36.7292710,8.460438928,76412.9,4.73492
1026957,291.2544900,36.7436100,21.76129812,1300.7,1.243
1027438,291.3540300,36.7845190,110.61576622,,5
1161345,291.0488000,36.8398820,4.28746668,790.1,1.5693
1161949,291.1780100,36.8745800,473.95103,330.6,11.778
1164301,291.6919600,36.8814090,95.688682,453.8,6.465
1293031,291.0209700,36.9036480,0.53936593,145.0,5.434
1293046,291.0265500,36.9163700,36.2671673,627.1,2.065
1293379,291.1139800,36.9940610,27.556452,289.2,8.23
1297263,291.9485200,36.9520800,153.521361,255.2,3.893
1429589,290.7562600,37.0898090,38.168652,90.6,5.086
1430305,290.9288000,37.0852510,359.3259,246.2,9.836
1431122,291.1424900,37.0613210,4.2989201,237.6,2.747
1432214,291.3826900,37.0729900,161.78832712,87750.0,5.31
1432789,291.4994200,37.0592800,9.93146307,398.6,5.678
1432789,291.4994200,37.0592800,4.57834367,140.7,3.987
1433531,291.6654700,37.0761180,567.71329,259.4,12.85
1433962,291.7619600,37.0986400,1.592633181,633.1,5.5605
1433980,291.7663300,37.0971910,1.592634161,155156.0,8.9488
1434395,291.8564800,37.0656510,2.2227289,279.1,2.617
1571511,290.9969200,37.1992190,14.022451457,20082.9,8.08619
1572948,291.3274800,37.1267010,3.0031801,374.7,2.814
1575690,291.8819000,37.1891100,2.252417903,32296.0,1.9767
1575873,291.9263600,37.1012920,0.629001455,14.7,1.263
1717528,290.5765700,37.2905390,9.31392071,163.7,0.971
1717722,290.6179800,37.2890890,4.53702121,504.4,1.813
1717722,290.6179800,37.2890890,0.977311489,250.7,1.403
1718189,290.7286700,37.2526510,21.85362905,355.6,3.439
1718189,290.7286700,37.2526510,13.0607936,236.6,3.215
1718189,290.7286700,37.2526510,86.723653,241.0,4.852
1718958,290.9193400,37.2871700,1.41975831,60.9,1.429
1721157,291.4573400,37.2068410,3.44928111,237.0,1.424
1722276,291.6967200,37.2380410,569.934135,18904.0,4.1904
1723078,291.8680100,37.2698780,330.025002,259.2,6.659
1724513,292.1648600,37.2757420,1.975208831,76.3,1.513
1724719,292.2047100,37.2212180,5.79179934,118.5,3.474
1724719,292.2047100,37.2212180,10.0989634,57.0,6.428
1725016,292.2629100,37.2369920,7.40742502,442.0,3.675
1725193,292.2943100,37.2617300,2.96384168,35652.8,5.4768
1725415,292.3407000,37.2798610,2.43731228,,1.89
1849702,286.2859500,37.3870580,39.8312536,388.8,2.442
1865042,290.6822500,37.3551100,3.4815917,135.2,1.8069
1865864,290.8730500,37.3621790,69.08935700000001,475.1,6.207
1868404,291.4842500,37.3972820,6.12601169,40.2,1.733
1870398,291.9155600,37.3225780,43.142257,283.2,61.73
1871056,292.0446200,37.3762400,40.8065333,313.9,13.135
1871056,292.0446200,37.3762400,140.10765,266.8,18.503
1871483,292.1323900,37.3884810,14.137062,393.0,2.264
1872821,292.4275800,37.3208080,10.27380957,352.8,3.252
1873513,292.5798600,37.3764110,3.290304098,13552.6,1.7215
1995519,286.1501500,37.4113690,19.9401211,758.9,4.283
1995712,286.2104800,37.4655910,462.12069,633.7,10.42
1995732,286.2160000,37.4252400,77.36241475999999,96585.8,12.1317
1996180,286.3443000,37.4119680,3.02558494,128.3,3.0008
1996180,286.3443000,37.4119680,5.42204257,79.1,2.952
1996399,286.4083300,37.4267620,94.10628163,,17.21
